uuid;date_heure_debut;date_heure_fin;duree;nom_table;nb_enregistrement_total;nb_enregistrement_ajout;nb_enregistrement_modification;nb_enregistrement_archivage
01905ecb-fafb-796e-a3ad-37a331588948;2024-06-28 14:22:24+02;2024-06-28 14:22:24+02;00 h 0 min 0 sec;ref_pays;287;287;0;86
01905ecb-fbb4-7e1e-8fba-f7f8e86b366a;2024-06-28 14:22:24+02;2024-06-28 14:22:24+02;00 h 0 min 0 sec;ref_region;26;26;0;0
01905ecb-fcdc-7c63-aae2-fc1795916965;2024-06-28 14:22:25+02;2024-06-28 14:22:25+02;00 h 0 min 0 sec;ref_departement;109;109;0;0
01905ecd-2f69-737c-96a8-2c844f19d4f5;2024-06-28 14:22:25+02;2024-06-28 14:23:43+02;00 h 1 min 18 sec;ref_commune;34958;34958;0;0
01905ece-9861-7d00-bbd7-3099ac6c8e0c;2024-06-28 14:25:15+02;2024-06-28 14:25:16+02;00 h 0 min 0 sec;ref_pays;287;0;0;0
01905ece-98e5-77dc-94a5-9722457a5b86;2024-06-28 14:25:16+02;2024-06-28 14:25:16+02;00 h 0 min 0 sec;ref_region;26;0;0;0
01905ece-99bf-7a6f-af41-5d8388f655c2;2024-06-28 14:25:16+02;2024-06-28 14:25:16+02;00 h 0 min 0 sec;ref_departement;109;0;0;0
01905ecf-d30f-7525-af17-accc4163e293;2024-06-28 14:25:16+02;2024-06-28 14:26:36+02;00 h 1 min 20 sec;ref_commune;34958;0;0;0
01905ed2-c1e7-7e0d-b284-51d0302dc69c;2024-06-28 14:29:48+02;2024-06-28 14:29:48+02;00 h 0 min 0 sec;ref_pays;287;0;0;0
01905ed2-c255-7c94-8749-d1e6375a818e;2024-06-28 14:29:48+02;2024-06-28 14:29:49+02;00 h 0 min 0 sec;ref_region;26;0;0;0
01905ed2-c35a-78e7-955f-af56679159cc;2024-06-28 14:29:49+02;2024-06-28 14:29:49+02;00 h 0 min 0 sec;ref_departement;109;0;0;0
01905ed4-04bd-7f05-b2c9-82cd7b2d7ada;2024-06-28 14:29:49+02;2024-06-28 14:31:11+02;00 h 1 min 22 sec;ref_commune;34958;0;0;0
