id;id_region;libelle_region_min;libelle_region_maj
1;6;Mayotte;MAYOTTE
2;84;Auvergne-Rhône-Alpes;AUVERGNE RHONE ALPES
3;32;Hauts-de-France;HAUTS DE FRANCE
4;984;Terres australes et antarctiques françaises;TERRES AUSTRALES ET ANTARTIQUES FRANCAISES
5;53;Bretagne;BRETAGNE
6;988;Nouvelle-Calédonie;NOUVELLE-CALÉDONIE
7;27;Bourgogne-Franche-Comté;BOURGOGNE FRANCHE COMTE
8;4;La Réunion;LA REUNION
9;2;Martinique;MARTINIQUE
10;75;Nouvelle-Aquitaine;NOUVELLE AQUITAINE
11;977;Saint-Barthélemy;SAINT-BARTHÉLEMY
12;11;Île-de-France;ILE DE FRANCE
13;3;Guyane;GUYANE
14;76;Occitanie;OCCITANIE
15;987;Polynésie française;POLYNÉSIE FRANCAISE
16;986;Wallis et Futuna;WALLIS ET FUTUNA
17;44;Grand Est;GRAND EST
18;24;Centre-Val de Loire;CENTRE VAL DE LOIRE
19;975;Saint-Pierre-et-Miquelon;SAINT-PIERRE-ET-MIQUELON
20;989;Île de Clipperton;ÎLE DE CLIPPERTON
21;1;Guadeloupe;GUADELOUPE
22;28;Normandie;NORMANDIE
23;978;Saint-Martin;SAINT-MARTIN
24;52;Pays de la Loire;PAYS DE LA LOIRE
25;94;Corse;CORSE
26;93;Provence-Alpes-Côte d'Azur;PROVENCE ALPES COTE D AZUR
